Sr No,State,Constituency,Candidate Name,Party Name,EVM Votes,Postal Votes,Total Votes,Percent Votes
1,Andaman & Nicobar Islands,Parliamentary  Constituency  1 - Andaman & Nicobar Islands (Andaman & Nicobar Islands) ,BISHNU PADA RAY,Bharatiya Janata Party,102182,254,102436,50.58
2,Andaman & Nicobar Islands,Parliamentary  Constituency  1 - Andaman & Nicobar Islands (Andaman & Nicobar Islands) ,KULDEEP RAI SHARMA,Indian National Congress,77829,211,78040,38.54
3,Andaman & Nicobar Islands,Parliamentary  Constituency  1 - Andaman & Nicobar Islands (Andaman & Nicobar Islands) ,MANOJ PAUL,Andaman Nicobar Democratic Congress,8236,18,8254,4.08
4,Andaman & Nicobar Islands,Parliamentary  Constituency  1 - Andaman & Nicobar Islands (Andaman & Nicobar Islands) ,D AYYAPPAN,Communist Party of India  (Marxist),6009,8,6017,2.97
5,Andaman & Nicobar Islands,Parliamentary  Constituency  1 - Andaman & Nicobar Islands (Andaman & Nicobar Islands) ,V.K. ABDUL AZIZ,Independent,2195,8,2203,1.09
6,Andaman & Nicobar Islands,Parliamentary  Constituency  1 - Andaman & Nicobar Islands (Andaman & Nicobar Islands) ,K J B SELVARAJ,All India Anna Dravida Munnetra Kazhagam,911,3,914,0.45
7,Andaman & Nicobar Islands,Parliamentary  Constituency  1 - Andaman & Nicobar Islands (Andaman & Nicobar Islands) ,DR ARUN KUMAR MALLIK,Bahujan Samaj Party,714,5,719,0.36
8,Andaman & Nicobar Islands,Parliamentary  Constituency  1 - Andaman & Nicobar Islands (Andaman & Nicobar Islands) ,RINKU MALA MONDAL,Independent,539,3,542,0.27
9,Andaman & Nicobar Islands,Parliamentary  Constituency  1 - Andaman & Nicobar Islands (Andaman & Nicobar Islands) ,K VENKAT RAM BABU,Independent,506,1,507,0.25
10,Andaman & Nicobar Islands,Parliamentary  Constituency  1 - Andaman & Nicobar Islands (Andaman & Nicobar Islands) ,USHA KUMARI,Independent,378,2,380,0.19
11,Andaman & Nicobar Islands,Parliamentary  Constituency  1 - Andaman & Nicobar Islands (Andaman & Nicobar Islands) ,SALAMAT MONDAL,Socialist Unity Centre Of India (COMMUNIST),349,2,351,0.17
12,Andaman & Nicobar Islands,Parliamentary  Constituency  1 - Andaman & Nicobar Islands (Andaman & Nicobar Islands) ,ANAND RAMNATH ARLEKAR,Independent,342,-,342,0.17
13,Andaman & Nicobar Islands,Parliamentary  Constituency  1 - Andaman & Nicobar Islands (Andaman & Nicobar Islands) ,NOTA,None of the Above,1802,7,1809,0.89
1,Andhra Pradesh,Parliamentary  Constituency  7 - Amalapuram (SC) (Andhra Pradesh) ,G M HARISH (BALAYOGI),Telugu Desam,786149,10832,796981,61.25
2,Andhra Pradesh,Parliamentary  Constituency  7 - Amalapuram (SC) (Andhra Pradesh) ,RAPAKA VARAPRASADA RAO,Yuvajana Sramika Rythu Congress Party,450362,4423,454785,34.95
3,Andhra Pradesh,Parliamentary  Constituency  7 - Amalapuram (SC) (Andhra Pradesh) ,GOUTHAM JANGA,Indian National Congress,14523,559,15082,1.16
4,Andhra Pradesh,Parliamentary  Constituency  7 - Amalapuram (SC) (Andhra Pradesh) ,DORABABU YALLA,Bahujan Samaj Party,5202,186,5388,0.41
5,Andhra Pradesh,Parliamentary  Constituency  7 - Amalapuram (SC) (Andhra Pradesh) ,KATRU NAGA BABU,Telugu Nava Garjana Party,3736,5,3741,0.29
6,Andhra Pradesh,Parliamentary  Constituency  7 - Amalapuram (SC) (Andhra Pradesh) ,VADDI LALITH KUMAR,Independent,2974,3,2977,0.23
7,Andhra Pradesh,Parliamentary  Constituency  7 - Amalapuram (SC) (Andhra Pradesh) ,MAKEY DAVY PRASAD,Independent,2104,7,2111,0.16
8,Andhra Pradesh,Parliamentary  Constituency  7 - Amalapuram (SC) (Andhra Pradesh) ,GUDE VENKATESWARULU,Independent,1741,4,1745,0.13
9,Andhra Pradesh,Parliamentary  Constituency  7 - Amalapuram (SC) (Andhra Pradesh) ,RAMESH JILLELLA,Jatiya Jana Sena Party,866,6,872,0.07
10,Andhra Pradesh,Parliamentary  Constituency  7 - Amalapuram (SC) (Andhra Pradesh) ,YALANGI RAMESH,Jaibhim Rao Bharat Party,738,2,740,0.06
11,Andhra Pradesh,Parliamentary  Constituency  7 - Amalapuram (SC) (Andhra Pradesh) ,MATHA KRISHNA,Pyramid Party of India,718,1,719,0.06
12,Andhra Pradesh,Parliamentary  Constituency  7 - Amalapuram (SC) (Andhra Pradesh) ,GIDDI JNANA PRAKASA RAO,Republican Party of India,717,9,726,0.06
13,Andhra Pradesh,Parliamentary  Constituency  7 - Amalapuram (SC) (Andhra Pradesh) ,YADLA RAJESH,Liberation Congress Party,628,7,635,0.05
14,Andhra Pradesh,Parliamentary  Constituency  7 - Amalapuram (SC) (Andhra Pradesh) ,KAPA KALYAN,Republican Party of India (A),579,2,581,0.04
